"Date","District","ProjectName","Address","PropertyType","Tenure","AreaSqFt","AreaType","PricePSF","Price"
"5 May 2026","2","76 SHENTON","76 SHENTON WAY #XX-XX","Apartment","99 yrs FROM 2007","980","Strata","1,838","1,800,000"
"5 May 2026","27","THE VISIONAIRE","182 CANBERRA DRIVE #XX-XX","Exec Condo","99 yrs FROM 2015","1,141","Strata","1,586","1,810,000"
"5 May 2026","14","GEMS VILLE","8 LORONG 13 GEYLANG #XX-XX","Apartment","Freehold","1,216","Strata","1,996","2,428,000"
"5 May 2026","18","TREASURE AT TAMPINES","1 TAMPINES LANE #XX-XX","Condominium","99 yrs FROM 2018","1,238","Strata","1,858","2,300,000"
"5 May 2026","10","SPRING GROVE","53B GRANGE ROAD #XX-XX","Condominium","99 yrs FROM 1991","1,389","Strata","1,786","2,480,000"
"5 May 2026","9","MARTIN MODERN","10 MARTIN PLACE #XX-XX","Condominium","99 yrs FROM 2016","1,399","Strata","3,094","4,330,000"
"4 May 2026","5","CLAVON","6 CLEMENTI AVENUE 1 #XX-XX","Apartment","99 yrs FROM 2019","764","Strata","2,152","1,645,000"
"4 May 2026","9","MIRAGE TOWER","80 KIM SENG ROAD #XX-XX","Condominium","Freehold","958","Strata","2,401","2,300,000"
"4 May 2026","15","SILVERSEA","46 MARINE PARADE ROAD #XX-XX","Condominium","99 yrs FROM 2007","980","Strata","2,175","2,130,000"
"4 May 2026","20","CENTRO RESIDENCES","59 ANG MO KIO AVENUE 8 #XX-XX","Condominium","99 yrs FROM 2007","1,001","Strata","2,088","2,090,088"
"4 May 2026","25","LA CASA","64 WOODLANDS DRIVE 16 #XX-XX","Exec Condo","99 yrs FROM 2004","1,087","Strata","989","1,075,000"
"4 May 2026","20","AMO RESIDENCE","23 ANG MO KIO RISE #XX-XX","Apartment","99 yrs FROM 2021","1,141","Strata","2,568","2,930,000"
"4 May 2026","20","BRADDELL VIEW","10E BRADDELL HILL #XX-XX","Apartment","102 yrs FROM 1978","1,453","Strata","1,077","1,565,000"
"4 May 2026","10","ONE TREE HILL RESIDENCE","1A ONE TREE HILL #XX-XX","Apartment","Freehold","2,207","Strata","2,302","5,080,000"
"3 May 2026","21","NAVA GROVE","38 PINE GROVE #XX-XX","Condominium","99 yrs FROM 2024","786","Strata","2,748","2,159,400"
"3 May 2026","19","CHUAN PARK","248 LORONG CHUAN #XX-XX","Condominium","99 yrs FROM 2024","872","Strata","2,406","2,097,580"
"3 May 2026","12","THE ARCADY AT BOON KENG","2 SAINT BARNABAS LANE #XX-XX","Apartment","Freehold","969","Strata","2,785","2,698,000"
"3 May 2026","3","PROMENADE PEAK","1 ZION PROMENADE #XX-XX","Condominium","99 yrs FROM 2024","1,163","Strata","3,438","3,996,300"
"3 May 2026","1","ONE MARINA GARDENS","3 MARINA GARDENS LANE #XX-XX","Apartment","99 yrs FROM 2023","1,173","Strata","2,977","3,492,500"
"3 May 2026","18","PARKTOWN RESIDENCE","3 TAMPINES STREET 62 #XX-XX","Apartment","99 yrs FROM 2023","1,184","Strata","2,252","2,666,000"
"3 May 2026","5","BLOOMSBURY RESIDENCES","65 MEDIA CIRCLE #XX-XX","Apartment","99 yrs FROM 2024","1,206","Strata","2,717","3,276,000"
"3 May 2026","22","THE LAKEGARDEN RESIDENCES","80 YUAN CHING ROAD #XX-XX","Apartment","99 yrs FROM 2023","1,238","Strata","2,204","2,728,000"
"3 May 2026","5","ELTA","12 CLEMENTI AVENUE 1 #XX-XX","Apartment","99 yrs FROM 2024","1,507","Strata","2,386","3,596,000"
"3 May 2026","15","MEYER BLUE","83 MEYER ROAD #XX-XX","Apartment","Freehold","1,733","Strata","3,151","5,460,000"
"3 May 2026","10","PARK NOVA","18 TOMLINSON ROAD #XX-XX","Apartment","Freehold","2,207","Strata","4,985","11,000,000"
"2 May 2026","23","NARRA RESIDENCES","60 DAIRY FARM WALK #XX-XX","Apartment","99 yrs FROM 2025","872","Strata","2,185","1,905,000"
"2 May 2026","21","THE SEN","222 JALAN JURONG KECHIL #XX-XX","Condominium","99 yrs FROM 2025","936","Strata","2,494","2,336,000"
"2 May 2026","12","THE ARCADY AT BOON KENG","2 SAINT BARNABAS LANE #XX-XX","Apartment","Freehold","969","Strata","2,566","2,486,000"
"2 May 2026","21","8@BT","6 BUKIT TIMAH LINK #XX-XX","Condominium","99 yrs FROM 2023","1,001","Strata","2,813","2,816,000"
"2 May 2026","5","ELTA","10 CLEMENTI AVENUE 1 #XX-XX","Apartment","99 yrs FROM 2024","1,023","Strata","2,865","2,930,000"
"2 May 2026","18","PARKTOWN RESIDENCE","7 TAMPINES STREET 62 #XX-XX","Apartment","99 yrs FROM 2023","1,184","Strata","2,375","2,812,000"
"2 May 2026","24","TENGAH GARDEN RESIDENCES","23 TENGAH GARDEN AVENUE #XX-XX","Apartment","99 years leasehold","1,249","Strata","2,317","2,893,000"
"1 May 2026","1","ONE MARINA GARDENS","5 MARINA GARDENS LANE #XX-XX","Apartment","99 yrs FROM 2023","1,238","Strata","2,982","3,691,600"
"1 May 2026","25","NORWOOD GRAND","2 CHAMPIONS WAY #XX-XX","Apartment","99 yrs FROM 2023","1,313","Strata","2,122","2,786,000"
"1 May 2026","5","ELTA","10 CLEMENTI AVENUE 1 #XX-XX","Apartment","99 yrs FROM 2024","1,313","Strata","2,487","3,266,000"
"1 May 2026","10","SKYE AT HOLLAND","2 HOLLAND VILLAGE WAY #XX-XX","Apartment","99 yrs FROM 2024","1,765","Strata","3,316","5,853,000"
"1 May 2026","5","ELTA","10 CLEMENTI AVENUE 1 #XX-XX","Apartment","99 yrs FROM 2024","1,776","Strata","2,321","4,122,000"
"30 Apr 2026","9","THE RISE @ OXLEY - RESIDENCES","73 OXLEY RISE #XX-XX","Apartment","Freehold","818","Strata","2,420","1,980,000"
"30 Apr 2026","20","THE GARDENS AT BISHAN","3 SIN MING WALK #XX-XX","Condominium","99 yrs FROM 1997","883","Strata","1,733","1,530,000"
"30 Apr 2026","9","ONE DEVONSHIRE","1 DEVONSHIRE ROAD #XX-XX","Condominium","Freehold","915","Strata","2,951","2,700,000"
"30 Apr 2026","16","THE BAYSHORE","34 BAYSHORE ROAD #XX-XX","Condominium","99 yrs FROM 1993","926","Strata","1,350","1,250,000"
"30 Apr 2026","12","GEM RESIDENCES","1 LORONG 5 TOA PAYOH #XX-XX","Condominium","99 yrs FROM 2015","936","Strata","2,125","1,990,000"
"30 Apr 2026","27","THE BROWNSTONE","160 CANBERRA DRIVE #XX-XX","Exec Condo","99 yrs FROM 2014","947","Strata","1,541","1,460,000"
"30 Apr 2026","12","THE CITRINE","18 JALAN DATOH #XX-XX","Apartment","Freehold","958","Strata","1,754","1,680,000"
"30 Apr 2026","27","CANBERRA CRESCENT RESIDENCES","51 CANBERRA CRESCENT #XX-XX","Apartment","99 yrs FROM 2024","990","Strata","2,021","2,001,000"
"30 Apr 2026","21","SUMMERHILL","52 HUME AVENUE #XX-XX","Condominium","Freehold","1,001","Strata","1,558","1,560,000"
"30 Apr 2026","20","THE PANORAMA","8 ANG MO KIO AVENUE 2 #XX-XX","Condominium","99 yrs FROM 2013","1,012","Strata","2,213","2,238,888"
"30 Apr 2026","13","BARTLEY RIDGE","42 MOUNT VERNON ROAD #XX-XX","Condominium","99 yrs FROM 2012","1,033","Strata","2,157","2,228,888"
"30 Apr 2026","5","THE STELLAR","18A WEST COAST ROAD #XX-XX","Condominium","Freehold","1,044","Strata","1,705","1,780,000"
"30 Apr 2026","18","THE PALETTE","115 PASIR RIS GROVE #XX-XX","Condominium","99 yrs FROM 2010","1,055","Strata","1,574","1,660,000"
"30 Apr 2026","20","FLORAVIEW","3 ANG MO KIO STREET 66 #XX-XX","Apartment","Freehold","1,066","Strata","1,483","1,580,000"
"30 Apr 2026","1","ONE MARINA GARDENS","5 MARINA GARDENS LANE #XX-XX","Apartment","99 yrs FROM 2023","1,066","Strata","2,976","3,171,600"
"30 Apr 2026","1","ONE MARINA GARDENS","5 MARINA GARDENS LANE #XX-XX","Apartment","99 yrs FROM 2023","1,066","Strata","2,964","3,158,400"
"30 Apr 2026","15","K SUITES","21 LORONG K TELOK KURAU #XX-XX","Apartment","Freehold","1,076","Strata","2,462","2,650,000"
"30 Apr 2026","19","TWIN WATERFALLS","106 PUNGGOL WALK #XX-XX","Exec Condo","99 yrs FROM 2011","1,087","Strata","1,559","1,695,000"
"30 Apr 2026","19","RIVERSAILS","6 UPPER SERANGOON CRESCENT #XX-XX","Condominium","99 yrs FROM 2011","1,109","Strata","1,624","1,800,000"
"30 Apr 2026","17","PARC OLYMPIA","56 FLORA DRIVE #XX-XX","Condominium","99 yrs FROM 2012","1,141","Strata","1,188","1,355,000"
"30 Apr 2026","20","THOMSON THREE","45 BRIGHT HILL DRIVE #XX-XX","Apartment","99 yrs FROM 2012","1,141","Strata","2,314","2,640,000"
"30 Apr 2026","14","LE CRESCENDO","233 PAYA LEBAR ROAD #XX-XX","Condominium","Freehold","1,173","Strata","1,722","2,020,000"
"30 Apr 2026","14","THE LENOX","396 CHANGI ROAD #XX-XX","Apartment","Freehold","1,184","Strata","1,360","1,610,000"
"30 Apr 2026","19","PALM HAVEN","18 PALM GROVE AVENUE #XX-XX","Condominium","999 yrs FROM 1876","1,227","Strata","1,483","1,820,000"
"30 Apr 2026","19","GOLDEN HEIGHTS","126 SERANGOON AVENUE 3 #XX-XX","Apartment","Freehold","1,238","Strata","1,721","2,130,000"
"30 Apr 2026","5","PARC CLEMATIS","8D JALAN LEMPENG #XX-XX","Apartment","99 yrs FROM 2019","1,238","Strata","2,488","3,080,000"
"30 Apr 2026","24","TENGAH GARDEN RESIDENCES","11 TENGAH GARDEN AVENUE #XX-XX","Apartment","99 years leasehold","1,259","Strata","2,257","2,842,000"
"30 Apr 2026","15","THE CONTINUUM","6 THIAM SIEW AVENUE #XX-XX","Apartment","Freehold","1,302","Strata","2,752","3,584,000"
"30 Apr 2026","19","THE LUXURIE","31 COMPASSVALE ROAD #XX-XX","Condominium","99 yrs FROM 2011","1,313","Strata","1,803","2,368,000"
"30 Apr 2026","27","CANBERRA CRESCENT RESIDENCES","57 CANBERRA CRESCENT #XX-XX","Apartment","99 yrs FROM 2024","1,324","Strata","2,020","2,673,874"
"30 Apr 2026","19","A TREASURE TROVE","56 PUNGGOL WALK #XX-XX","Condominium","99 yrs FROM 2011","1,335","Strata","1,761","2,350,000"
"30 Apr 2026","8","RANGOON VIEW","223 RANGOON ROAD #XX-XX","Apartment","Freehold","1,335","Strata","1,274","1,700,000"
"30 Apr 2026","21","HUME PARK I","17 HUME AVENUE #XX-XX","Condominium","Freehold","1,346","Strata","1,695","2,280,000"
"30 Apr 2026","17","KASSIA","39 FLORA DRIVE #XX-XX","Condominium","Freehold","1,346","Strata","1,874","2,522,000"
"30 Apr 2026","15","WATER PLACE","173 TANJONG RHU ROAD #XX-XX","Condominium","99 yrs FROM 1998","1,356","Strata","1,821","2,470,000"
"30 Apr 2026","18","TENET","87 TAMPINES STREET 62 #XX-XX","Exec Condo","99 yrs FROM 2021","1,367","Strata","1,682","2,300,000"
"30 Apr 2026","20","BISHAN LOFT","33 BISHAN STREET 11 #XX-XX","Exec Condo","99 yrs FROM 2000","1,378","Strata","1,800","2,480,000"
"30 Apr 2026","14","GRANDLINK SQUARE","511 GUILLEMARD ROAD #XX-XX","Apartment","Freehold","1,378","Strata","1,560","2,150,000"
"30 Apr 2026","16","PINERY RESIDENCES","926 BEDOK RESERVOIR ROAD #XX-XX","Apartment","99 yrs FROM 2025","1,389","Strata","2,590","3,597,000"
"30 Apr 2026","21","THE CASCADIA","937 BUKIT TIMAH ROAD #XX-XX","Condominium","Freehold","1,421","Strata","2,399","3,408,888"
"30 Apr 2026","5","PARC CLEMATIS","6A JALAN LEMPENG #XX-XX","Apartment","99 yrs FROM 2019","1,464","Strata","2,323","3,400,000"
"30 Apr 2026","5","FABER RESIDENCE","66 FABER WALK #XX-XX","Apartment","99 yrs FROM 2025","1,485","Strata","2,315","3,439,000"
"30 Apr 2026","15","MEYER BLUE","83 MEYER ROAD #XX-XX","Apartment","Freehold","1,518","Strata","3,004","4,559,000"
"30 Apr 2026","8","N.A.","XX JOO AVENUE","Apartment","Freehold","1,536","Strata","1,367","2,100,000"
"30 Apr 2026","2","INTERNATIONAL PLAZA","10 ANSON ROAD #XX-XX","Apartment","99 yrs FROM 1970","1,604","Strata","1,091","1,750,000"
"30 Apr 2026","16","ARCHIPELAGO","521 BEDOK RESERVOIR ROAD #XX-XX","Condominium","99 yrs FROM 2011","1,647","Strata","1,652","2,720,000"
"30 Apr 2026","15","THE CONTINUUM","5 THIAM SIEW AVENUE #XX-XX","Apartment","Freehold","1,690","Strata","2,947","4,980,000"
"30 Apr 2026","15","MEYER BLUE","83 MEYER ROAD #XX-XX","Apartment","Freehold","1,733","Strata","3,267","5,662,000"
"30 Apr 2026","3","THE ANCHORAGE","370G ALEXANDRA ROAD #XX-XX","Condominium","Freehold","1,830","Strata","2,000","3,660,000"
"30 Apr 2026","15","KATONG GARDENS","235 TEMBELING ROAD #XX-XX","Condominium","Freehold","1,948","Strata","1,940","3,780,000"
"30 Apr 2026","10","8 NAPIER","8 NAPIER ROAD #XX-XX","Condominium","Freehold","2,013","Strata","3,329","6,700,000"
"30 Apr 2026","15","THE WATERSIDE","1 TANJONG RHU ROAD #XX-XX","Condominium","Freehold","2,433","Strata","2,487","6,050,000"
"30 Apr 2026","10","REGENCY PARK","11 NATHAN ROAD #XX-XX","Condominium","Freehold","3,175","Strata","2,236","7,100,000"
"29 Apr 2026","19","CAMBIO SUITES","28 LIM TUA TOW ROAD #XX-XX","Apartment","Freehold","797","Strata","1,491","1,188,000"
"29 Apr 2026","7","THE PLAZA","7500A BEACH ROAD #XX-XX","Apartment","99 yrs FROM 1968","807","Strata","1,214","980,000"
"29 Apr 2026","2","ALTEZ","16 ENGGOR STREET #XX-XX","Apartment","99 yrs FROM 2008","829","Strata","2,268","1,880,000"
"29 Apr 2026","19","VIBES@UPPER SERANGOON","488 UPPER SERANGOON ROAD #XX-XX","Apartment","Freehold","850","Strata","1,232","1,048,000"
"29 Apr 2026","16","OPTIMA @ TANAH MERAH","86 TANAH MERAH KECHIL AVENUE #XX-XX","Condominium","99 yrs FROM 2008","872","Strata","1,583","1,380,000"
"29 Apr 2026","14","URBAN TREASURES","207 JALAN EUNOS #XX-XX","Condominium","Freehold","883","Strata","2,243","1,980,000"
"29 Apr 2026","8","CITYLIGHTS","86 JELLICOE ROAD #XX-XX","Condominium","99 yrs FROM 2004","893","Strata","2,104","1,880,000"
"29 Apr 2026","3","HIGHLINE RESIDENCES","9 KIM TIAN ROAD #XX-XX","Condominium","99 yrs FROM 2013","915","Strata","2,601","2,380,000"
"29 Apr 2026","14","SIMSVILLE","6 GEYLANG EAST AVENUE 2 #XX-XX","Condominium","99 yrs FROM 1994","980","Strata","1,358","1,330,000"
"29 Apr 2026","2","THE ARRIS","28 YAN KIT ROAD #XX-XX","Apartment","Freehold","980","Strata","2,438","2,388,000"
"29 Apr 2026","27","CANBERRA CRESCENT RESIDENCES","55 CANBERRA CRESCENT #XX-XX","Apartment","99 yrs FROM 2024","990","Strata","2,076","2,056,100"
"29 Apr 2026","14","SIMS URBAN OASIS","16 SIMS DRIVE #XX-XX","Condominium","99 yrs FROM 2014","1,033","Strata","2,129","2,200,000"
"29 Apr 2026","3","ARTRA","10 ALEXANDRA VIEW #XX-XX","Apartment","99 yrs FROM 2016","1,044","Strata","2,634","2,750,000"
"29 Apr 2026","16","WATERFRONT GOLD","754 BEDOK RESERVOIR ROAD #XX-XX","Condominium","99 yrs FROM 2009","1,055","Strata","1,659","1,750,000"
"29 Apr 2026","18","THE PALETTE","105 PASIR RIS GROVE #XX-XX","Condominium","99 yrs FROM 2010","1,066","Strata","1,595","1,700,000"
"29 Apr 2026","17","HEDGES PARK CONDOMINIUM","83 FLORA DRIVE #XX-XX","Condominium","99 yrs FROM 2010","1,076","Strata","1,296","1,395,000"
"29 Apr 2026","8","PICCADILLY GRAND","3 NORTHUMBERLAND ROAD #XX-XX","Apartment","99 yrs FROM 2021","1,087","Strata","2,484","2,700,000"
"29 Apr 2026","19","KINGSFORD WATERBAY","70 UPPER SERANGOON VIEW #XX-XX","Apartment","99 yrs FROM 2014","1,098","Strata","1,449","1,590,888"
"29 Apr 2026","18","THE TAPESTRY","53 TAMPINES STREET 86 #XX-XX","Condominium","99 yrs FROM 2017","1,130","Strata","1,796","2,030,000"
"29 Apr 2026","25","LA CASA","50 WOODLANDS DRIVE 16 #XX-XX","Exec Condo","99 yrs FROM 2004","1,141","Strata","1,060","1,210,000"
"29 Apr 2026","20","SEASONS VIEW","7 PEMIMPIN DRIVE #XX-XX","Condominium","99 yrs FROM 1996","1,141","Strata","1,567","1,788,000"
"29 Apr 2026","15","SANCTUARY GREEN","183 TANJONG RHU ROAD #XX-XX","Condominium","99 yrs FROM 1997","1,152","Strata","1,856","2,138,000"
"29 Apr 2026","27","SKIES MILTONIA","23 MILTONIA CLOSE #XX-XX","Condominium","99 yrs FROM 2012","1,184","Strata","1,214","1,438,000"
"29 Apr 2026","20","SKY HABITAT","7 BISHAN STREET 15 #XX-XX","Condominium","99 yrs FROM 2011","1,195","Strata","1,856","2,218,000"
"29 Apr 2026","12","SHAW PLAZA - TWIN HEIGHTS","350 BALESTIER ROAD #XX-XX","Apartment","Freehold","1,238","Strata","1,598","1,978,000"
"29 Apr 2026","21","8@BT","6 BUKIT TIMAH LINK #XX-XX","Condominium","99 yrs FROM 2023","1,238","Strata","2,602","3,221,000"
"29 Apr 2026","16","PINERY RESIDENCES","928 BEDOK RESERVOIR ROAD #XX-XX","Apartment","99 yrs FROM 2025","1,238","Strata","2,612","3,233,000"
"29 Apr 2026","15","THE CONTINUUM","5 THIAM SIEW AVENUE #XX-XX","Apartment","Freehold","1,249","Strata","3,061","3,822,000"
"29 Apr 2026","19","WATERBAY","45B EDGEFIELD PLAINS #XX-XX","Exec Condo","99 yrs FROM 2012","1,259","Strata","1,636","2,060,000"
"29 Apr 2026","15","NEPTUNE COURT","6 MARINE VISTA #XX-XX","Apartment","99 yrs FROM 1976","1,270","Strata","1,039","1,320,000"
"29 Apr 2026","15","COSTA RHU","5 RHU CROSS #XX-XX","Condominium","99 yrs FROM 1994","1,335","Strata","1,648","2,200,000"
"29 Apr 2026","10","D'LEEDON","7 LEEDON HEIGHTS #XX-XX","Condominium","99 yrs FROM 2010","1,367","Strata","2,231","3,050,000"
"29 Apr 2026","21","VERDALE","6 DE SOUZA AVENUE #XX-XX","Apartment","99 yrs FROM 2018","1,410","Strata","2,128","3,000,000"
"29 Apr 2026","15","MANDARIN GARDENS","5 SIGLAP ROAD #XX-XX","Condominium","99 yrs FROM 1982","1,572","Strata","1,408","2,212,000"
"29 Apr 2026","10","THE TESSARINA","20 WILBY ROAD #XX-XX","Condominium","Freehold","1,615","Strata","2,550","4,118,000"
"29 Apr 2026","20","BRADDELL VIEW","10H BRADDELL HILL #XX-XX","Apartment","103 yrs FROM 1977","1,701","Strata","1,094","1,860,000"
"29 Apr 2026","15","MEYER BLUE","83 MEYER ROAD #XX-XX","Apartment","Freehold","1,733","Strata","3,190","5,528,000"
"29 Apr 2026","14","DAKOTA RESIDENCES","40 DAKOTA CRESCENT #XX-XX","Condominium","99 yrs FROM 2007","1,894","Strata","2,089","3,958,000"
"29 Apr 2026","11","TRILIGHT","9 NEWTON ROAD #XX-XX","Condominium","Freehold","2,099","Strata","2,382","5,000,000"
"29 Apr 2026","16","BEDOK COURT","297 BEDOK SOUTH AVENUE 3 #XX-XX","Condominium","99 yrs FROM 1982","2,271","Strata","1,057","2,399,998"
"29 Apr 2026","10","FOUR SEASONS PARK","8 CUSCADEN WALK #XX-XX","Condominium","Freehold","2,874","Strata","3,229","9,280,000"
"28 Apr 2026","3","STIRLING RESIDENCES","25 STIRLING ROAD #XX-XX","Apartment","99 yrs FROM 2017","786","Strata","2,482","1,950,000"
"28 Apr 2026","14","VACANZA @ EAST","36 LENGKONG TUJOH #XX-XX","Condominium","Freehold","807","Strata","1,678","1,355,000"
"28 Apr 2026","21","KI RESIDENCES AT BROOKVALE","16 BROOKVALE DRIVE #XX-XX","Condominium","999 yrs FROM 1885","861","Strata","2,264","1,950,000"
"28 Apr 2026","23","NARRA RESIDENCES","60 DAIRY FARM WALK #XX-XX","Apartment","99 yrs FROM 2025","872","Strata","2,173","1,895,000"
"28 Apr 2026","1","ONE MARINA GARDENS","3 MARINA GARDENS LANE #XX-XX","Apartment","99 yrs FROM 2023","904","Strata","2,958","2,674,300"
"28 Apr 2026","5","BLOOMSBURY RESIDENCES","65 MEDIA CIRCLE #XX-XX","Apartment","99 yrs FROM 2024","904","Strata","2,550","2,306,000"
"28 Apr 2026","3","DOMAIN 21","23 DELTA ROAD #XX-XX","Condominium","99 yrs FROM 2004","926","Strata","2,107","1,950,000"
"28 Apr 2026","5","NORMANTON PARK","55 NORMANTON PARK #XX-XX","Apartment","99 yrs FROM 2019","958","Strata","1,973","1,890,000"
"28 Apr 2026","19","NAUNG RESIDENCE","1 JALAN NAUNG #XX-XX","Apartment","999 yrs FROM 1883","980","Strata","1,491","1,460,000"
"28 Apr 2026","1","UNION SQUARE RESIDENCES","28 HAVELOCK ROAD #XX-XX","Apartment","99 yrs FROM 2024","990","Strata","2,864","2,836,000"
"28 Apr 2026","27","PARC LIFE","31 SEMBAWANG CRESCENT #XX-XX","Exec Condo","99 yrs FROM 2014","1,066","Strata","1,406","1,498,000"
"28 Apr 2026","13","PARK COLONIAL","8 WOODLEIGH LANE #XX-XX","Condominium","99 yrs FROM 2017","1,066","Strata","2,721","2,900,000"
"28 Apr 2026","19","THE MINTON","12 HOUGANG STREET 11 #XX-XX","Condominium","99 yrs FROM 2007","1,087","Strata","1,559","1,695,000"
"28 Apr 2026","14","THE WATERINA","69 LORONG 40 GEYLANG #XX-XX","Apartment","Freehold","1,130","Strata","1,991","2,250,000"
"28 Apr 2026","18","ARC AT TAMPINES","3 TAMPINES AVENUE 8 #XX-XX","Exec Condo","99 yrs FROM 2011","1,152","Strata","1,433","1,650,000"
"28 Apr 2026","22","LAKE LIFE","10 TAO CHING ROAD #XX-XX","Exec Condo","99 yrs FROM 2013","1,195","Strata","1,444","1,725,000"
"28 Apr 2026","5","FABER RESIDENCE","68 FABER WALK #XX-XX","Apartment","99 yrs FROM 2025","1,216","Strata","2,341","2,847,000"
"28 Apr 2026","5","PARC CLEMATIS","8D JALAN LEMPENG #XX-XX","Apartment","99 yrs FROM 2019","1,238","Strata","2,395","2,965,000"
"28 Apr 2026","4","CORALS AT KEPPEL BAY","1 KEPPEL BAY DRIVE #XX-XX","Condominium","99 yrs FROM 2007","1,249","Strata","2,146","2,680,000"
"28 Apr 2026","15","AMBER PARK","18 AMBER GARDENS #XX-XX","Condominium","Freehold","1,302","Strata","2,956","3,850,000"
"28 Apr 2026","15","THE CONTINUUM","3 THIAM SIEW AVENUE #XX-XX","Apartment","Freehold","1,302","Strata","2,752","3,584,000"
"28 Apr 2026","9","8 @ MOUNT SOPHIA","10A MOUNT SOPHIA #XX-XX","Condominium","103 yrs FROM 2002","1,378","Strata","1,851","2,550,000"
"28 Apr 2026","15","BUTTERWORTH 33","33 BUTTERWORTH LANE #XX-XX","Apartment","Freehold","1,389","Strata","1,815","2,520,000"
"28 Apr 2026","27","YISHUN SAPPHIRE","50 CANBERRA DRIVE #XX-XX","Condominium","99 yrs FROM 1998","1,399","Strata","1,159","1,622,000"
"28 Apr 2026","16","EAST MEADOWS","34 TANAH MERAH KECHIL ROAD #XX-XX","Condominium","99 yrs FROM 1998","1,464","Strata","1,400","2,050,000"
"28 Apr 2026","9","RIVER MODERN","5 RIVER VALLEY GREEN #XX-XX","Apartment","99 yrs FROM 2025","1,830","Strata","3,450","6,313,000"
"28 Apr 2026","15","THE CONTINUUM","2 THIAM SIEW AVENUE #XX-XX","Apartment","Freehold","1,905","Strata","2,799","5,333,000"
"27 Apr 2026","1","MARINA ONE RESIDENCES","21 MARINA WAY #XX-XX","Apartment","99 yrs FROM 2011","764","Strata","1,740","1,330,000"
"27 Apr 2026","3","ALEXIS","356 ALEXANDRA ROAD #XX-XX","Apartment","Freehold","829","Strata","1,520","1,260,000"
"27 Apr 2026","23","HILLBROOKS","88 HILLVIEW AVENUE #XX-XX","Condominium","Freehold","829","Strata","1,448","1,200,000"
"27 Apr 2026","23","NARRA RESIDENCES","60 DAIRY FARM WALK #XX-XX","Apartment","99 yrs FROM 2025","872","Strata","2,278","1,986,000"
"27 Apr 2026","15","THE SHORE RESIDENCES","87 AMBER ROAD #XX-XX","Condominium","103 yrs FROM 2009","883","Strata","2,221","1,960,000"
"27 Apr 2026","9","LEONIE SUITES","21 LEONIE HILL #XX-XX","Apartment","99 yrs FROM 2002","926","Strata","2,020","1,870,000"
"27 Apr 2026","19","RIVERCOVE RESIDENCES","40 ANCHORVALE LANE #XX-XX","Exec Condo","99 yrs FROM 2016","958","Strata","1,665","1,595,000"
"27 Apr 2026","19","TREASURE CREST","60 ANCHORVALE CRESCENT #XX-XX","Exec Condo","99 yrs FROM 2015","958","Strata","1,634","1,565,000"
"27 Apr 2026","18","WATERCOLOURS","29 PASIR RIS LINK #XX-XX","Exec Condo","99 yrs FROM 2012","958","Strata","1,253","1,200,000"
"27 Apr 2026","5","WHISTLER GRAND","109 WEST COAST VALE #XX-XX","Apartment","99 yrs FROM 2018","958","Strata","2,004","1,920,000"
"27 Apr 2026","11","PARK INFINIA AT WEE NAM","6A LINCOLN ROAD #XX-XX","Condominium","Freehold","969","Strata","2,560","2,480,000"
"27 Apr 2026","17","BALLOTA PARK CONDOMINIUM","156 MARIAM WAY #XX-XX","Condominium","Freehold","990","Strata","1,197","1,185,000"
"27 Apr 2026","5","LE HILL CONDOMINIUM","42 PASIR PANJANG HILL #XX-XX","Condominium","Freehold","990","Strata","1,515","1,500,000"
"27 Apr 2026","27","CANBERRA CRESCENT RESIDENCES","55 CANBERRA CRESCENT #XX-XX","Apartment","99 yrs FROM 2024","990","Strata","2,071","2,050,900"
"27 Apr 2026","14","DENG FU VILLE","30 KAMPONG EUNOS #XX-XX","Apartment","Freehold","1,001","Strata","1,419","1,420,000"
"27 Apr 2026","14","THE WATERINA","53 LORONG 40 GEYLANG #XX-XX","Apartment","Freehold","1,001","Strata","1,798","1,800,000"
"27 Apr 2026","19","HUNDRED PALMS RESIDENCES","264 YIO CHU KANG ROAD #XX-XX","Exec Condo","99 yrs FROM 2016","1,012","Strata","2,031","2,055,000"
"27 Apr 2026","27","THE COMMODORE","61 CANBERRA DRIVE #XX-XX","Condominium","99 yrs FROM 2020","1,023","Strata","1,780","1,820,000"
"27 Apr 2026","23","NARRA RESIDENCES","60 DAIRY FARM WALK #XX-XX","Apartment","99 yrs FROM 2025","1,023","Strata","2,126","2,174,000"
"27 Apr 2026","19","HERON BAY","51 UPPER SERANGOON VIEW #XX-XX","Exec Condo","99 yrs FROM 2012","1,033","Strata","1,403","1,450,000"
"27 Apr 2026","24","TENGAH GARDEN RESIDENCES","19 TENGAH GARDEN AVENUE #XX-XX","Apartment","99 years leasehold","1,033","Strata","2,181","2,254,000"
"27 Apr 2026","24","TENGAH GARDEN RESIDENCES","27 TENGAH GARDEN AVENUE #XX-XX","Apartment","99 years leasehold","1,033","Strata","2,179","2,252,000"
"27 Apr 2026","15","THE CONTINUUM","1 THIAM SIEW AVENUE #XX-XX","Apartment","Freehold","1,066","Strata","2,862","3,050,000"
"27 Apr 2026","19","THE TERRACE","98 EDGEDALE PLAINS #XX-XX","Exec Condo","99 yrs FROM 2013","1,076","Strata","1,561","1,680,000"
